# Reviewed expectations: Linux root NFSv3 adapter, not native FUSE conformance.
# First root review: 2026-09-20, pjdfstest 85a8aea9e685999ef0540392fd80535f873d7ff7.
# Review, source dependencies and isolated supported-kind check:
# docs/bugs/2026-09-20-pjdfstest-device-fixture-cascades.md
# A-26 authorizes FIFO/socket metadata; block/character devices remain refused.
# NFS-OPEN and NFS-TIME are client/wire limits, not shared VFS exclusions.
# This initializes the root review left pending in conformance.md section 3.4.
# One case per line; no file wildcard. Unlisted failures, listed passes and absent
# listed cases fail the gate. This list can only shrink after this review.
# The historical transport slug is native-linux-fuse; the record remains LIMITED.
# Device names are never substituted, and the upstream suite is never patched in CI.

tests/link/00.t:90  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:91  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:92  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:93  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:94  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:96  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:97  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:98  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:100  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:102  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:146  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:147  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:148  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:149  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:150  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:151  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:152  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:153  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:154  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:155  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:156  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:157  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:158  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:159  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:181  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:182  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:183  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:184  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:187  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:188  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:189  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:190  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:191  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/00.t:194  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/01.t:14  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/01.t:15  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/01.t:16  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/01.t:17  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/01.t:18  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/01.t:19  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/01.t:20  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/01.t:21  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/01.t:22  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/01.t:23  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/01.t:24  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/01.t:25  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/10.t:11  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/10.t:12  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/10.t:14  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/link/10.t:15  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkdir/01.t:8  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkdir/01.t:9  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkdir/01.t:10  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkdir/01.t:11  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkdir/01.t:12  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkdir/01.t:13  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkdir/10.t:10  A-26 device fixture at case 10 refuses; mkdir at 11 creates a directory that unlink cannot remove, affecting later iterations (DEVICE-DIR).
tests/mkdir/10.t:11  A-26 device fixture at case 10 refuses; mkdir at 11 creates a directory that unlink cannot remove, affecting later iterations (DEVICE-DIR).
tests/mkdir/10.t:12  A-26 device fixture at case 10 refuses; mkdir at 11 creates a directory that unlink cannot remove, affecting later iterations (DEVICE-DIR).
tests/mkdir/10.t:13  A-26 device fixture at case 10 refuses; mkdir at 11 creates a directory that unlink cannot remove, affecting later iterations (DEVICE-DIR).
tests/mkdir/10.t:15  A-26 device fixture at case 10 refuses; mkdir at 11 creates a directory that unlink cannot remove, affecting later iterations (DEVICE-DIR).
tests/mkdir/10.t:16  A-26 device fixture at case 10 refuses; mkdir at 11 creates a directory that unlink cannot remove, affecting later iterations (DEVICE-DIR).
tests/mkdir/10.t:18  A-26 device fixture at case 10 refuses; mkdir at 11 creates a directory that unlink cannot remove, affecting later iterations (DEVICE-DIR).
tests/mkdir/10.t:19  A-26 device fixture at case 10 refuses; mkdir at 11 creates a directory that unlink cannot remove, affecting later iterations (DEVICE-DIR).
tests/mkdir/10.t:21  A-26 device fixture at case 10 refuses; mkdir at 11 creates a directory that unlink cannot remove, affecting later iterations (DEVICE-DIR).
tests/mkfifo/01.t:8  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkfifo/01.t:9  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkfifo/01.t:10  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkfifo/01.t:11  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkfifo/01.t:12  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkfifo/01.t:13  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkfifo/09.t:10  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkfifo/09.t:11  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkfifo/09.t:13  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mkfifo/09.t:14  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/01.t:12  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/01.t:13  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/01.t:14  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/01.t:15  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/01.t:16  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/01.t:17  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/01.t:18  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/01.t:19  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/01.t:20  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/01.t:21  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/02.t:5  A-26 refuses the explicit block creation at case 5; lookup/unlink address that absent device (DEVICE-EXPLICIT).
tests/mknod/02.t:6  A-26 refuses the explicit block creation at case 5; lookup/unlink address that absent device (DEVICE-EXPLICIT).
tests/mknod/02.t:7  A-26 refuses the explicit block creation at case 5; lookup/unlink address that absent device (DEVICE-EXPLICIT).
tests/mknod/02.t:9  A-26 refuses the explicit char creation at case 9; lookup/unlink address that absent device (DEVICE-EXPLICIT).
tests/mknod/02.t:10  A-26 refuses the explicit char creation at case 9; lookup/unlink address that absent device (DEVICE-EXPLICIT).
tests/mknod/02.t:11  A-26 refuses the explicit char creation at case 9; lookup/unlink address that absent device (DEVICE-EXPLICIT).
tests/mknod/03.t:5  A-26 refuses the explicit block creation at case 5; lookup/unlink address that absent device (DEVICE-EXPLICIT).
tests/mknod/03.t:6  A-26 refuses the explicit block creation at case 5; lookup/unlink address that absent device (DEVICE-EXPLICIT).
tests/mknod/03.t:7  A-26 refuses the explicit block creation at case 5; lookup/unlink address that absent device (DEVICE-EXPLICIT).
tests/mknod/03.t:9  A-26 refuses the explicit char creation at case 9; lookup/unlink address that absent device (DEVICE-EXPLICIT).
tests/mknod/03.t:10  A-26 refuses the explicit char creation at case 9; lookup/unlink address that absent device (DEVICE-EXPLICIT).
tests/mknod/03.t:11  A-26 refuses the explicit char creation at case 9; lookup/unlink address that absent device (DEVICE-EXPLICIT).
tests/mknod/08.t:16  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/08.t:17  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/08.t:18  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/08.t:19  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/08.t:21  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/08.t:22  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/08.t:23  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/08.t:24  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:2  A-26 refuses c creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:3  A-26 refuses c creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:4  A-26 refuses c creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:5  A-26 refuses c creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:6  A-26 refuses c creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:8  A-26 refuses c creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:9  A-26 refuses c creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:10  A-26 refuses c creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:11  A-26 refuses c creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:12  A-26 refuses c creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:13  A-26 refuses c creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:14  A-26 refuses c creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:15  A-26 refuses b creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:16  A-26 refuses b creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:17  A-26 refuses b creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:18  A-26 refuses b creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:19  A-26 refuses b creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:21  A-26 refuses b creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:22  A-26 refuses b creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:23  A-26 refuses b creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:24  A-26 refuses b creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:25  A-26 refuses b creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:26  A-26 refuses b creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/mknod/11.t:27  A-26 refuses b creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/open/01.t:10  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/open/01.t:11  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/open/01.t:12  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/open/01.t:13  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/open/01.t:14  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/open/01.t:15  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/open/01.t:16  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/open/01.t:17  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/open/22.t:10  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/open/22.t:11  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/open/22.t:13  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/open/22.t:14  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:32  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:33  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:34  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:35  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:37  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:38  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:39  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:40  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:41  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:42  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:44  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:45  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:46  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:47  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:48  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:49  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:50  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:52  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:53  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:54  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:55  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:56  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:57  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:59  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:60  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:61  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:106  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:107  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:108  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:109  A-26 refuses block creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:110  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:111  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:112  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/00.t:113  A-26 refuses char creation; this iteration checks that device or metadata/namespace effects requiring its existence (DEVICE-FIXTURE).
tests/rename/09.t:32  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:33  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:40  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:41  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:90  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:91  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:98  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:99  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:148  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:149  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:156  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:157  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:206  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:207  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:214  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:215  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:264  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:265  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:272  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:273  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:314  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:315  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:318  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:319  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:320  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:321  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:324  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:325  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:356  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:357  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:360  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:361  A-26 refuses the regular-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:362  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:363  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:366  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:367  A-26 refuses the regular-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:406  A-26 refuses the fifo-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:407  A-26 refuses the fifo-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:414  A-26 refuses the fifo-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:415  A-26 refuses the fifo-to-char test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:464  A-26 refuses the fifo-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
tests/rename/09.t:465  A-26 refuses the fifo-to-block test's device fixture; inverse renames can move a surviving target into the missing source (DEVICE-SOURCE).
